BWAR,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,IBB,SO,DP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,BWPA,RANK,PWAR,W,L,WP,SV,HLD,IP,R_P,ER_P,H_P,2B_P,3B_P,HR_P,BB_P,IBB_P,HBP_P,SO_P,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,PWPA,TWAR,TWPA
15.86,699,1390,216,20,110,664,77,56,438,101,17,1021,123,76,55,0.281,0.348,0.4,0.748,0.333,93,3.6,50,19.16,69,72,48.93,32,66,1279,677,614,1305,249,29,124,379,31,102,1040,3,81,4.32,4.43,1.32,112,109.1,-5.25,35.02,-1.65
15.68,717,1316,218,19,130,667,80,47,581,109,33,1133,112,139,35,0.271,0.36,0.405,0.764,0.34,89.9,11.13,30,11.91,68,76,47.22,32,44,1279.2,800,727,1349,232,12,157,648,38,96,920,9,85,5.11,5.43,1.56,97.4,90.9,-14.97,27.59,-3.84
15.68,699,1317,211,12,129,658,132,49,486,62,10,990,117,50,53,0.268,0.338,0.394,0.732,0.333,90.5,-0.43,50,18.75,64,75,46.04,25,80,1272.1,745,676,1330,222,16,151,542,16,67,931,5,56,4.78,5.03,1.47,103.4,97.3,-4.92,34.43,-5.35
15.28,653,1331,252,22,114,601,113,62,462,80,18,1076,98,75,41,0.269,0.339,0.399,0.738,0.33,92.1,0.53,20,22.22,64,78,45.07,25,44,1279.2,721,660,1352,227,26,125,490,30,98,1063,3,83,4.64,4.53,1.44,101.1,103.3,-6.96,37.5,-6.43
15.12,757,1382,264,13,206,721,80,57,464,46,14,1109,103,43,26,0.275,0.34,0.456,0.796,0.343,94.2,8.54,20,16.76,59,82,41.84,24,45,1274.1,834,760,1580,272,23,194,409,25,84,1025,1,63,5.37,5.31,1.56,98.7,97.9,-20.35,31.88,-11.81
15.02,607,1249,223,16,88,562,105,51,441,70,12,1090,112,44,45,0.256,0.324,0.362,0.686,0.317,92,-7.1,20,11.39,58,86,40.27,28,43,1268.2,737,679,1407,238,19,120,526,9,72,934,4,66,4.82,4.55,1.52,86,91.6,-6.91,26.41,-14.01
12.22,729,1369,249,14,151,668,118,64,420,88,17,1098,113,31,28,0.275,0.341,0.422,0.763,0.335,89.1,10.47,80,19.87,77,67,53.47,37,62,1274,761,701,1394,246,13,164,472,9,89,1124,7,78,4.95,5.04,1.47,107,105.9,-5.47,32.09,5
10.91,578,1231,214,22,90,545,62,31,430,64,12,1085,108,35,40,0.25,0.316,0.358,0.674,0.312,85.8,-10.09,10,11.97,48,93,34.04,16,47,1270.1,764,688,1405,241,20,120,546,33,71,1032,4,103,4.87,4.39,1.54,86.1,95.4,-12.89,22.88,-22.98
10.19,634,1212,177,17,143,595,81,45,511,69,18,981,112,49,34,0.25,0.329,0.383,0.711,0.324,84.9,-2.01,20,8.5,51,92,35.66,20,53,1259.1,846,783,1343,225,17,162,670,12,84,953,5,85,5.6,5.48,1.6,86.3,89,-18.95,18.69,-20.96
9.68,655,1360,274,17,119,625,86,51,374,66,11,1017,118,62,45,0.276,0.332,0.41,0.742,0.328,84.3,-2.29,10,13.18,50,94,34.72,22,41,1256,876,806,1524,283,27,174,433,11,95,913,6,77,5.78,5.32,1.56,87.8,93.8,-19.75,22.86,-22.04
9.66,660,1280,233,18,143,629,82,35,427,88,15,1081,115,35,43,0.261,0.329,0.404,0.733,0.322,83.6,6.03,10,11.15,58,85,40.55,24,51,1264,844,773,1443,248,20,186,537,17,68,1010,6,92,5.5,5.54,1.57,94.3,94.9,-19.46,20.81,-13.43
9.51,672,1369,214,11,116,639,96,46,499,48,7,933,130,65,45,0.276,0.345,0.394,0.738,0.336,83.6,1.72,10,8.82,53,89,37.32,27,48,1273,927,839,1593,315,38,145,560,9,84,980,9,77,5.93,5.23,1.69,88.1,99.9,-19.72,18.33,-18
5.51,648,1197,223,22,136,602,115,50,454,101,16,1126,105,79,43,0.251,0.326,0.392,0.718,0.32,79,3.86,40,20.09,67,77,46.52,32,65,1273,739,679,1371,252,31,143,572,22,98,979,4,80,4.8,5.07,1.53,102.8,97.7,-8.59,25.6,-4.73
4.87,551,1189,195,12,79,523,51,36,462,89,9,1163,119,45,25,0.245,0.32,0.338,0.658,0.306,77,-12.09,10,12.2,46,95,32.62,21,54,1265,820,744,1400,240,18,158,609,22,79,1019,5,77,5.29,5.15,1.59,89.7,93.1,-12.46,17.07,-24.55
